,length,avg_sentence_length,type_token_ratio,flesch_score,vocab_richness,num_special_chars,entropy,sentiment,named_entities,repetition,avg_token_probability,perplexity_scaled
22,462,16.2,0.6875,55.141111111111115,0.19047619047619047,10,2.204115,0.045,10,0,3.1250012e-05,451953.2726771882
23,469,18.5,0.6055555555555555,-11.180405405405367,0.232409381663113,29,1.0082204,0.0,16,0,3.1250005e-05,2208143.5120324576
24,478,15.2,0.7631578947368421,44.2032456140351,0.18200836820083682,6,1.7899129,0.0016,5,2,3.125e-05,849869.4045728005
25,514,15.8,0.8091603053435115,25.899071729957825,0.20622568093385213,6,1.7384825,0.04849709024234694,13,0,3.1250005e-05,2379915.192165768
26,505,20.5,0.8114754098360656,19.749268292682956,0.19603960396039605,7,2.0435736,0.002340577492092643,6,0,3.125e-05,523061.62719752354
27,502,25.333333333333332,0.8275862068965517,-28.373421052631556,0.19123505976095617,6,2.1945813,0.001012224525226757,9,0,3.1249998e-05,270380.2718985856
28,533,21.5,0.7580645161290323,27.43651162790698,0.17636022514071295,9,1.9190596,0.035377932098765434,14,0,3.1249994e-05,435546.610654333
29,533,12.571428571428571,0.6106870229007634,39.869094827586224,0.150093808630394,13,1.5968103,0.0024000000000000002,10,1,3.1249994e-05,515884.5136993541
30,562,19.4,0.7571428571428571,38.145680272108876,0.18861209964412812,8,2.3396568,0.00693737804178145,7,0,3.125001e-05,332323.2471672807
31,486,27.666666666666668,0.825,-13.993132530120462,0.2037037037037037,10,2.4578476,0.008402777777777783,7,0,3.1249998e-05,485250.24686650024
32,540,18.2,0.6287878787878788,32.87743589743593,0.1537037037037037,10,1.8839186,0.01171875,13,0,3.1249994e-05,294173.63136283937
33,516,26.666666666666668,0.7184466019417476,-34.04749999999996,0.1434108527131783,8,2.090515,0.013966942148760333,5,1,3.1249987e-05,706937.3097416828
34,541,18.2,0.7692307692307693,45.89282051282052,0.18484288354898337,12,2.0080721,0.009664713541666668,10,0,3.1249987e-05,706864.5549352738
35,477,19.0,0.7154471544715447,30.2334210526316,0.18448637316561844,12,2.2005186,0.010688888888888888,10,0,3.124999e-05,270642.4525574694
36,541,12.285714285714286,0.6222222222222222,-22.897439024390223,0.20702402957486138,30,1.0267925,0.00881038223140496,24,0,3.1249972e-05,1989639.8715675068
37,489,24.666666666666668,0.6466165413533834,-21.469594594594554,0.17586912065439672,15,1.5528581,7.656250000000001e-05,12,0,3.1250005e-05,1901382.4318495104
38,503,21.75,0.7666666666666667,30.43422413793104,0.18290258449304175,10,1.9779284,0.0014109697376893146,12,0,3.125001e-05,262781.60293265514
39,494,20.5,0.7155172413793104,26.971219512195177,0.1680161943319838,6,2.3059363,0.0015432098765432098,4,1,3.125e-05,868333.7733899995
40,468,12.166666666666666,0.8,37.65371575342468,0.19658119658119658,9,1.4883724,0.0023063016528925622,9,0,3.1250005e-05,1596067.1675778944
41,459,19.25,0.7264150943396226,27.123733766233784,0.16775599128540306,9,1.8800913,0.011466666666666667,10,2,3.1250012e-05,380972.4639370317
